what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947504562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947508900
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947509088
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1268947509132
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947514735
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1268947523311
opened,view,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.views.SearchView",1268947523746
activated,view,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.views.SearchView",1268947523765
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.search.declarations.in.workspace",1268947523905
no handler,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1268947525375
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1268947527035
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947528224
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1268947528270
no handler,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1268947529895
started,bundle,org.eclipse.help.base,3.4.0.v200906111540,"org.eclipse.help.base",1268947531614
executed,command,org.eclipse.help.ui,,"org.eclipse.help.ui.closeTray",1268947531642
started,bundle,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui",1268947531654
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1268947533496
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947545653
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1268947548087
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947550508
executed,command,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.closeTray",1268947655787
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947659362
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1268947660395
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1268947661520
