what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947685627
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947689717
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947692028
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947694213
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1268947695145
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1268947695897
activated,editor,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui.internal.editor.AntEditor",1268947696630
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1268947697936
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1268947700316
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1268947700356
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947701900
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947702580
activated,editor,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui.internal.editor.AntEditor",1268947702870
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1268947702870
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.close",1268947702881
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1268947703565
closed,editor,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui.internal.editor.AntEditor",1268947703565
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.close",1268947703577
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1268947704249
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1268947704249
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.close",1268947704265
activated,view,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui.views.AntView",1268947707483
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1268947711433
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1268947712112
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1268947712893
