what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1264108514290
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1264108514290
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1264108514290
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1264108514290
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1264108514290
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1264108514290
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1264108514290
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1264108514290
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1264108514290
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1264108514290
os,sysinfo,,,"macosx",1264108514293
arch,sysinfo,,,"x86",1264108514293
ws,sysinfo,,,"cocoa",1264108514293
locale,sysinfo,,,"en_US",1264108514293
processors,sysinfo,,,"8",1264108514293
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1264108514293
java.runtime.version,sysinfo,,,"1.5.0_22-b03-333-9M3125",1264108514293
java.specification.name,sysinfo,,,"Java Platform API Specification",1264108514293
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264108514293
java.specification.version,sysinfo,,,"1.5",1264108514293
java.vendor,sysinfo,,,"Apple Inc.",1264108514293
java.version,sysinfo,,,"1.5.0_22",1264108514293
java.vm.info,sysinfo,,,"mixed mode",1264108514293
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1264108514293
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1264108514293
