what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264454157495
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264454162420
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264454200984
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264454202476
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264454351838
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1264454357058
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264454359415
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264454359840
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264454362609
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264454363604
activated,view,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui.views.AntView",1264454369744
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1264454373755
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1264454373855
started,bundle,org.eclipse.ant.core,3.2.100.v20090520,"org.eclipse.ant.core",1264454374132
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1264454374701
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1264454374980
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264454388851
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264454526443
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1264454528495
activated,view,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui.views.AntView",1264454535189
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264454537579
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264454539566
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264454539732
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264454606950
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1264454607487
