what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000324807
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000329170
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000338295
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000346131
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000577552
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000578731
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000594817
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1247000598759
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1247000607675
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000615570
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000670676
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1247000674777
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000675263
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000675771
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000679575
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000714869
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000716064
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000750788
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000751721
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000752599
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000754886
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000840647
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000848767
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247000916372
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1247000977222
