what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264453785124
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264453785636
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1264453787230
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1264453789829
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1264453799992
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1264453802838
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264453810087
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1264453815740
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264453816632
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264453817516
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264453820677
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453851409
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453963498
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1264453968631
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453972556
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453973449
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264453975982
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453984419
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453992438
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453994190
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453998231
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264454001194
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264454002091
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264454007505
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1264454024482
