what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1291656780607
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1291656780608
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1291656780609
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1291656780609
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1291656780609
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1291656780610
os,sysinfo,,,"macosx",1291656780612
arch,sysinfo,,,"x86",1291656780612
ws,sysinfo,,,"cocoa",1291656780612
locale,sysinfo,,,"en_US",1291656780612
processors,sysinfo,,,"8",1291656780612
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1291656780612
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1291656780612
java.specification.name,sysinfo,,,"Java Platform API Specification",1291656780612
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291656780612
java.specification.version,sysinfo,,,"1.6",1291656780612
java.vendor,sysinfo,,,"Apple Inc.",1291656780612
java.version,sysinfo,,,"1.6.0_22",1291656780612
java.vm.info,sysinfo,,,"mixed mode",1291656780612
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1291656780612
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1291656780612
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291656780612
java.vm.specification.version,sysinfo,,,"1.0",1291656780612
java.vm.vendor,sysinfo,,,"Apple Inc.",1291656780612
java.vm.version,sysinfo,,,"17.1-b03-307",1291656780612
