what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264453526241
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1264453532142
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264453533355
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264453537677
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453542685
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453543058
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264453548244
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453552638
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453552790
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264453554532
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453557765
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453614603
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453625407
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453690656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453697907
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264453706563
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1264453715592
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264453736499
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264453737644
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264453738119
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1264453740880
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264453768571
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264453769102
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1264453780042
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264453783348
